Date,Time,Temperature,Humidity
12/10/21,16:41,21.2*C,36.2%
12/10/21,16:41,21.2*C,36.2%
12/10/21,16:41,21.2*C,36.2%
12/10/21,16:41,21.2*C,36.2%
12/10/21,16:41,21.2*C,36.2%
12/10/21,16:41,21.2*C,36.2%
12/10/21,16:41,21.2*C,36.2%
12/10/21,16:41,21.2*C,36.2%
12/10/21,16:41,21.2*C,36.2%
12/10/21,16:41,21.2*C,36.2%
12/10/21,16:41,21.2*C,36.2%
12/10/21,16:41,21.2*C,36.2%
12/10/21,16:41,21.2*C,36.2%
12/10/21,16:41,21.2*C,36.2%
12/10/21,16:41,21.2*C,36.2%
12/10/21,16:41,21.2*C,36.2%
12/10/21,16:41,21.2*C,36.2%
12/10/21,16:41,21.2*C,36.2%
12/10/21,16:41,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.1%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.1%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.1%
12/10/21,16:42,21.2*C,36.1%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.1%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:42,21.2*C,36.2%
12/10/21,16:43,21.2*C,36.2%
12/10/21,16:43,21.2*C,36.2%
12/10/21,16:43,21.2*C,36.2%
12/10/21,16:43,21.2*C,36.2%
12/10/21,16:43,21.2*C,36.2%
